name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;1022;0;1046;3149;1870;3149;1823;0
header;243;185;243;220;1888;220;1888;185
A;1051;248;1051;276;1075;276;1075;248
B;1502;439;1502;458;1517;458;1517;439
B;1810;945;1810;964;1824;964;1824;945
B;1059;954;1059;981;1081;981;1081;954
A;1710;1166;1710;1168;1712;1168;1712;1166
A;1359;1568;1359;1570;1360;1570;1360;1568
C;1062;1621;1062;1650;1084;1650;1084;1621
B;1840;2142;1840;2153;1847;2153;1847;2142
D;1073;2303;1073;2331;1096;2331;1096;2303
B;1789;2776;1789;2794;1803;2794;1803;2776
A;1735;3044;1735;3046;1737;3046;1737;3044
